"id","orderid","paymentmethod","status","amount","created"
"80","65","credit_card","success","0","2018-03-08"
"93","77","credit_card","success","0","2018-03-21"
"11","9","bank_transfer","success","0","2018-01-12"
"71","58","coupon","fail","1800","2018-03-01"
"72","58","coupon","success","1800","2018-03-01"
"52","43","gift_card","success","1800","2018-02-17"
"66","54","credit_card","success","1800","2018-02-26"
"96","79","credit_card","success","1800","2018-03-23"
"38","30","credit_card","success","1300","2018-02-02"
"23","18","credit_card","success","800","2018-01-20"
"100","82","credit_card","success","800","2018-03-24"
"27","22","bank_transfer","success","800","2018-01-24"
"48","39","bank_transfer","success","800","2018-02-11"
"55","46","bank_transfer","success","800","2018-02-19"
"30","24","coupon","success","2600","2018-01-27"
"113","93","gift_card","success","2600","2018-04-03"
"61","50","credit_card","success","2600","2018-02-23"
"86","70","credit_card","success","2600","2018-03-12"
"106","87","credit_card","success","2600","2018-03-27"
"12","10","bank_transfer","success","2600","2018-01-14"
"79","64","bank_transfer","success","2600","2018-03-07"
"95","78","bank_transfer","success","2600","2018-03-23"
"98","80","gift_card","success","300","2018-03-23"
"40","32","credit_card","success","300","2018-02-04"
"65","53","credit_card","success","300","2018-02-26"
"18","14","bank_transfer","success","300","2018-01-17"
"57","48","bank_transfer","success","300","2018-02-21"
"89","73","bank_transfer","success","300","2018-03-16"
"33","25","coupon","success","1600","2018-01-28"
"8","7","credit_card","success","1600","2018-01-09"
"84","68","credit_card","success","1600","2018-03-11"
"76","61","bank_transfer","success","1600","2018-03-03"
"53","44","gift_card","success","1100","2018-02-17"
"67","54","bank_transfer","success","1100","2018-02-26"
"43","35","credit_card","success","2900","2018-02-08"
"62","51","credit_card","success","2900","2018-02-24"
"68","55","credit_card","success","2900","2018-02-27"
"78","63","credit_card","success","2900","2018-03-06"
"88","72","credit_card","success","2900","2018-03-14"
"107","88","credit_card","success","2900","2018-03-27"
"24","19","gift_card","success","600","2018-01-22"
"73","58","gift_card","success","600","2018-03-01"
"7","6","credit_card","success","600","2018-01-07"
"59","49","credit_card","success","600","2018-02-21"
"58","49","bank_transfer","fail","600","2018-02-21"
"116","95","coupon","success","2400","2018-04-04"
"120","99","credit_card","success","2400","2018-04-09"
"3","3","coupon","success","100","2018-01-04"
"14","12","credit_card","success","100","2018-01-15"
"63","51","credit_card","success","100","2018-02-24"
"101","83","credit_card","success","100","2018-03-24"
"83","67","credit_card","success","1900","2018-03-11"
"85","69","credit_card","success","1900","2018-03-11"
"91","75","credit_card","success","1900","2018-03-18"
"110","91","credit_card","success","1900","2018-03-31"
"36","28","bank_transfer","success","1900","2018-01-29"
"94","77","bank_transfer","success","1900","2018-03-21"
"77","62","gift_card","success","1400","2018-03-05"
"49","40","credit_card","success","1400","2018-02-13"
"17","13","bank_transfer","success","1400","2018-01-17"
"118","97","bank_transfer","success","1400","2018-04-07"
"60","49","credit_card","success","900","2018-02-21"
"97","79","credit_card","success","900","2018-03-23"
"44","36","bank_transfer","success","900","2018-02-10"
"13","11","credit_card","success","2700","2018-01-14"
"69","56","credit_card","success","400","2018-02-28"
"75","60","credit_card","success","400","2018-03-03"
"82","67","bank_transfer","success","400","2018-03-11"
"19","15","coupon","success","2200","2018-01-17"
"32","25","credit_card","success","2200","2018-01-28"
"41","33","credit_card","success","2200","2018-02-04"
"56","47","credit_card","success","2200","2018-02-20"
"108","89","bank_transfer","success","2200","2018-03-28"
